"","round.df_VGG16..3.","round.df_VGG19..3.","round.df_ResNet..3.","round.df_VGG16..3.","round.df_VGG19..3.","round.df_ResNet..3.","round.df_VGG16..3.","round.df_VGG19..3.","round.df_ResNet..3.","round.df_VGG16..3.","round.df_VGG19..3.","round.df_ResNet..3.","round.df_VGG16..3.","round.df_VGG19..3.","round.df_ResNet..3."
"duration",3433.854,3626.984,10327.054,4204.871,4127.636,11897.832,3383.884,4061.302,11859.777,6139.956,6134.767,16573.262,6696.215,6929.192,18439.322
"emissions",0.016,0.015,0.036,0.038,0.034,0.086,0.06,0.07,0.181,0.024,0.027,0.067,0.055,0.065,0.157
"emissions_rate",0.005,0.004,0.004,0.009,0.009,0.007,0.018,0.018,0.015,0.004,0.005,0.004,0.008,0.009,0.009
"cpu_power",42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
"gpu_power",77.765,51.229,36.191,58.689,39.387,33.874,58.314,60.216,43.715,47.875,62.688,45.907,57.696,60.784,44.941
"ram_power",5.863,5.863,5.863,5.863,5.863,5.863,5.863,5.863,5.863,5.863,5.863,5.863,5.863,5.863,5.863
"cpu_energy",0.041,0.043,0.122,0.05,0.049,0.14,0.04,0.048,0.14,0.072,0.072,0.196,0.079,0.082,0.218
"gpu_energy",0.07,0.057,0.124,0.075,0.065,0.143,0.068,0.077,0.18,0.092,0.115,0.26,0.101,0.133,0.302
"ram_energy",0.006,0.006,0.017,0.007,0.007,0.019,0.006,0.007,0.019,0.01,0.01,0.027,0.011,0.011,0.03
"energy_consumed",0.116,0.106,0.263,0.132,0.121,0.303,0.113,0.131,0.339,0.174,0.198,0.483,0.191,0.226,0.55
"cpu_count",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"gpu_count",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"longitude",-121.187,-121.187,-121.187,-79.975,-79.975,-79.975,121.532,121.532,121.532,-121.187,-121.187,-121.187,-79.975,-79.975,-79.975
"latitude",45.6,45.6,45.6,32.861,32.861,32.861,25.05,25.05,25.05,45.6,45.6,45.6,32.861,32.861,32.861
"ram_total_size",15.634,15.634,15.634,15.634,15.634,15.634,15.634,15.634,15.634,15.634,15.634,15.634,15.634,15.634,15.634
